28882005	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28882004	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28882003	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28882002	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28882001	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28882000	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881999	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881998	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881997	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881996	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881995	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881994	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881993	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881992	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881991	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881990	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881989	OK	generic	Bioinformatics (Oxford, England) 2017, 2 files		''
28881988	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881987	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881986	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881985	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881984	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881983	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881982	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881981	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881980	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881979	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881978	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881977	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881976	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881975	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881974	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881973	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881972	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881971	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881970	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881969	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881968	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881967	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881966	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881965	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881964	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881963	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881962	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881961	OK	generic	Bioinformatics (Oxford, England) 2017, 3 files		'main.html contains html tag'
28881960	HighwirePdfNotValid	u'https://academic.oup.com/bioinformatics/article-abstract/33/14/2243/3866889?redirectedFrom=fulltext.full.pdf'
28881959	HighwirePdfNotValid	u'https://academic.oup.com/bioinformatics/article-abstract/33/14/2226/3059141?redirectedFrom=fulltext.full.pdf'
28605508	HighwirePdfNotValid	u'https://academic.oup.com/bioinformatics/article-abstract/33/14/2247/3866468?redirectedFrom=fulltext.full.pdf'
28605497	HighwirePdfNotValid	u'https://academic.oup.com/bioinformatics/article-abstract/33/14/2249/3866469?redirectedFrom=fulltext.full.pdf'
